alumno,carrera,sexo,calidad
11755,Licenciatura en Enfermería,M,A
11756,Curso de Ingreso UNViMe,M,A
11757,Licenciatura en Enfermería,F,A
11758,Curso de Ingreso UNViMe,F,A
11759,Licenciatura en Obstetricia,F,A
11760,Curso de Ingreso UNViMe,F,A
11761,Licenciatura en Enfermería,F,A
11762,Curso de Ingreso UNViMe,F,A
11763,Tecnicatura Universitaria en Marketing Cultural y Deportivo,F,A
11764,Curso de Ingreso UNViMe,F,A
11765,Curso de Ingreso UNViMe,F,P
11766,Licenciatura en Enfermería,F,A
11767,Curso de Ingreso UNViMe,F,A
11768,Tecnicatura Universitaria en Marketing Cultural y Deportivo,M,A
11769,Ingeniería en Sistemas de Información,M,A
11770,Curso de Ingreso UNViMe,M,A
11771,Licenciatura en Enfermería,F,A
11772,Curso de Ingreso UNViMe,F,A
11773,Licenciatura en Enfermería,F,A
11774,Curso de Ingreso UNViMe,F,A
11775,Licenciatura en Kinesiología y Fisiatría,M,A
11776,Curso de Ingreso UNViMe,M,A
11777,Licenciatura en Enfermería,F,P
11778,Curso de Ingreso UNViMe,F,P
11779,Licenciatura en Obstetricia,F,A
11780,Curso de Ingreso UNViMe,F,A
11781,Licenciatura en Enfermería,F,A
11782,Curso de Ingreso UNViMe,F,A
11783,Profesorado de Educación Inicial,F,P
11784,Curso de Ingreso UNViMe,F,P
11785,Tecnicatura Universitaria en Agroalimentos,F,P
11786,Curso de Ingreso UNViMe,F,P
11787,Profesorado de Educación Inicial,F,A
11788,Curso de Ingreso UNViMe,F,A
11789,Licenciatura en Diseño de Comunicación,F,A
11790,Curso de Ingreso UNViMe,F,A
11791,Licenciatura en Obstetricia,F,A
11792,Curso de Ingreso UNViMe,F,A
11793,Licenciatura en Enfermería,M,A
11794,Curso de Ingreso UNViMe,M,A
11795,Licenciatura en Enfermería,M,A
11796,Curso de Ingreso UNViMe,M,A
11797,Licenciatura en Enfermería,F,A
11798,Curso de Ingreso UNViMe,F,A
11799,Profesorado de Educación Inicial,F,P
11800,Curso de Ingreso UNViMe,F,P
11801,Ciclo de Ingreso a Medicina,F,A
11802,Licenciatura en Logística,F,A
11803,Curso de Ingreso UNViMe,F,A
11804,Tecnicatura Universitaria en Agroalimentos,M,P
11805,Curso de Ingreso UNViMe,M,P
11806,Licenciatura en Enfermería,M,A
11807,Curso de Ingreso UNViMe,M,A
11808,Licenciatura en Kinesiología y Fisiatría,M,A
11809,Curso de Ingreso UNViMe,M,A
11810,Licenciatura en Enfermería,F,A
11811,Curso de Ingreso UNViMe,F,A
11812,Ciclo de Ingreso a Medicina,F,A
11813,Licenciatura en Obstetricia,F,A
11814,Curso de Ingreso UNViMe,F,A
11815,Tecnicatura Superior en Gestión Ambiental,F,A
11816,Curso de Ingreso UNViMe,F,A
11817,Licenciatura en Obstetricia,F,A
11818,Curso de Ingreso UNViMe,F,A
11820,Curso de Ingreso UNViMe,F,A
11821,Licenciatura en Obstetricia,F,A
11822,Curso de Ingreso UNViMe,F,A
11823,Licenciatura en Kinesiología y Fisiatría,M,A
11824,Curso de Ingreso UNViMe,M,A
11825,Licenciatura en Kinesiología y Fisiatría,M,A
11826,Curso de Ingreso UNViMe,M,A
11827,Bioingeniería,F,A
11828,Curso de Ingreso UNViMe,F,A
11829,Licenciatura en Enfermería,F,A
11830,Programador Universitario de Sistemas,M,A
11831,Curso de Ingreso UNViMe,M,A
11832,Licenciatura en Obstetricia,F,A
11833,Curso de Ingreso UNViMe,F,A
11834,Licenciatura en Obstetricia,F,A
11835,Curso de Ingreso UNViMe,F,A
11836,Licenciatura en Obstetricia,F,A
11837,Curso de Ingreso UNViMe,F,A
11838,Licenciatura en Enfermería,F,A
11839,Curso de Ingreso UNViMe,F,A
11840,Licenciatura en Enfermería,F,A
11841,Licenciatura en Kinesiología y Fisiatría,F,A
11842,Curso de Ingreso UNViMe,F,A
11843,Licenciatura en Obstetricia,F,A
11844,Curso de Ingreso UNViMe,F,A
11845,Licenciatura en Kinesiología y Fisiatría,F,A
11846,Curso de Ingreso UNViMe,F,A
11847,Licenciatura en Enfermería,M,A
11848,Curso de Ingreso UNViMe,M,A
11849,Ciclo de Ingreso a Medicina,M,A
11850,Licenciatura en Obstetricia,F,A
11851,Curso de Ingreso UNViMe,F,A
11852,Licenciatura en Enfermería,F,A
11853,Curso de Ingreso UNViMe,F,A
11854,Licenciatura en Diseño de Comunicación,F,P
11855,Curso de Ingreso UNViMe,F,P
11856,Programador Universitario de Sistemas,F,P
11857,Curso de Ingreso UNViMe,F,A
11858,Licenciatura en Enfermería,F,P
11859,Curso de Ingreso UNViMe,F,P
11860,Licenciatura en Economía,F,A
11861,Curso de Ingreso UNViMe,F,A
11862,Bioingeniería,F,A
11863,Curso de Ingreso UNViMe,F,A
11864,Ingeniería en Sistemas de Información,M,A
11865,Curso de Ingreso UNViMe,M,A
11866,Ingeniería en Sistemas de Información,M,A
11867,Curso de Ingreso UNViMe,M,A
11868,Licenciatura en Economía,F,A
11869,Curso de Ingreso UNViMe,F,A
11870,Ciclo de Ingreso a Medicina,M,A
11871,Bioingeniería,F,A
11872,Curso de Ingreso UNViMe,F,A
11873,Profesorado de Educación Inicial,F,A
11874,Curso de Ingreso UNViMe,F,A
11875,Licenciatura en Diseño de Comunicación,F,P
11876,Curso de Ingreso UNViMe,F,P
11877,Ingeniería en Sistemas de Información,F,A
11878,Curso de Ingreso UNViMe,F,A
11879,Licenciatura en Enfermería,F,A
11880,Curso de Ingreso UNViMe,F,A
11881,Licenciatura en Obstetricia,F,P
11882,Curso de Ingreso UNViMe,F,P
11883,Licenciatura en Enfermería,F,A
11884,Curso de Ingreso UNViMe,F,A
11885,Licenciatura en Enfermería,M,A
11886,Curso de Ingreso UNViMe,M,A
11887,Licenciatura en Kinesiología y Fisiatría,M,A
11888,Curso de Ingreso UNViMe,M,A
11889,Licenciatura en Diseño de Comunicación,F,P
11890,Curso de Ingreso UNViMe,F,P
11891,Licenciatura en Enfermería,F,A
11892,Curso de Ingreso UNViMe,F,A
11893,Licenciatura en Economía,M,A
11894,Curso de Ingreso UNViMe,M,A
11895,Ciclo de Ingreso a Medicina,M,A
11896,Ciclo de Ingreso a Medicina,M,A
11897,Licenciatura en Obstetricia,F,P
11898,Curso de Ingreso UNViMe,F,P
11899,Ciclo de Ingreso a Medicina,F,A
11900,Programador Universitario de Sistemas,M,A
11901,Curso de Ingreso UNViMe,M,A
11902,Licenciatura en Diseño de Comunicación,M,P
11903,Curso de Ingreso UNViMe,M,P
11904,Licenciatura en Kinesiología y Fisiatría,M,A
11905,Curso de Ingreso UNViMe,M,A
11906,Licenciatura en Enfermería,F,A
11907,Ciclo de Ingreso a Medicina,F,A
11908,Licenciatura en Enfermería,F,A
11909,Curso de Ingreso UNViMe,F,A
11910,Ciclo de Ingreso a Medicina,M,A
11911,Licenciatura en Kinesiología y Fisiatría,F,P
11912,Curso de Ingreso UNViMe,F,P
11913,Licenciatura en Kinesiología y Fisiatría,F,P
11914,Curso de Ingreso UNViMe,F,P
11915,Licenciatura en Economía,F,A
11916,Curso de Ingreso UNViMe,F,A
11917,Licenciatura en Enfermería,F,A
11918,Curso de Ingreso UNViMe,F,A
11919,Licenciatura en Kinesiología y Fisiatría,M,A
11920,Curso de Ingreso UNViMe,M,A
11921,Licenciatura en Obstetricia,F,A
11922,Curso de Ingreso UNViMe,F,A
11923,Licenciatura en Enfermería,F,A
11924,Curso de Ingreso UNViMe,F,A
11925,Licenciatura en Enfermería,F,P
11926,Curso de Ingreso UNViMe,F,P
11927,Programador Universitario de Sistemas,M,A
11928,Curso de Ingreso UNViMe,M,A
11929,Profesorado de Educación Inicial,F,A
11930,Curso de Ingreso UNViMe,F,A
11931,Profesorado de Educación Inicial,F,P
11932,Curso de Ingreso UNViMe,F,P
11933,Licenciatura en Enfermería,F,A
11934,Ciclo de Ingreso a Medicina,F,A
11935,Profesorado de Educación Primaria,M,A
11936,Ciclo de Ingreso a Medicina,M,A
11937,Ciclo de Ingreso a Medicina,M,A
11938,Profesorado de Educación Primaria,M,A
11939,Curso de Ingreso UNViMe,M,A
11940,Licenciatura en Obstetricia,F,P
11941,Curso de Ingreso UNViMe,F,P
11942,Licenciatura en Enfermería,F,A
11943,Curso de Ingreso UNViMe,F,A
11944,Licenciatura en Kinesiología y Fisiatría,F,A
11945,Tecnicatura Superior en Gestión Ambiental,F,A
11946,Curso de Ingreso UNViMe,F,A
11948,Curso de Ingreso UNViMe,M,P
11949,Licenciatura en Enfermería,M,A
11950,Curso de Ingreso UNViMe,M,A
11951,Licenciatura en Economía,F,A
11952,Curso de Ingreso UNViMe,F,A
11953,Licenciatura en Enfermería,F,P
11954,Curso de Ingreso UNViMe,F,P
11955,Licenciatura en Obstetricia,M,A
11956,Curso de Ingreso UNViMe,M,A
11957,Licenciatura en Enfermería,F,A
11958,Curso de Ingreso UNViMe,F,A
11959,Licenciatura en Obstetricia,F,A
11960,Curso de Ingreso UNViMe,F,A
11961,Licenciatura en Enfermería,M,A
11962,Curso de Ingreso UNViMe,M,A
11963,Profesorado de Educación Primaria,F,A
11964,Curso de Ingreso UNViMe,F,A
11965,Licenciatura en Logística,F,A
11966,Curso de Ingreso UNViMe,F,A
11967,Licenciatura en Enfermería,F,A
11968,Curso de Ingreso UNViMe,F,A
11969,Tecnicatura Superior en Gestión Ambiental,F,A
11970,Curso de Ingreso UNViMe,F,A
11971,Tecnicatura Universitaria en Gestión Deportiva,F,P
11972,Curso de Ingreso UNViMe,F,P
11973,Licenciatura en Enfermería,F,A
11974,Curso de Ingreso UNViMe,F,A
11975,Licenciatura en Logística,F,A
11976,Curso de Ingreso UNViMe,F,A
11977,Profesorado de Educación Inicial,F,A
11978,Profesorado de Educación Primaria,F,A
11979,Licenciatura en Enfermería,M,P
11980,Curso de Ingreso UNViMe,M,P
11981,Licenciatura en Enfermería,F,P
11982,Curso de Ingreso UNViMe,F,P
11983,Ingeniería en Sistemas de Información,M,A
11984,Curso de Ingreso UNViMe,M,A
11985,Ingeniería en Sistemas de Información,M,A
11986,Curso de Ingreso UNViMe,M,A
11987,Licenciatura en Economía,M,A
11988,Curso de Ingreso UNViMe,M,A
11989,Licenciatura en Enfermería,F,A
11990,Licenciatura en Obstetricia,F,A
11991,Curso de Ingreso UNViMe,F,A
11992,Licenciatura en Obstetricia,F,A
11993,Curso de Ingreso UNViMe,F,A
11994,Licenciatura en Obstetricia,F,A
11995,Curso de Ingreso UNViMe,F,A
11996,Licenciatura en Enfermería,F,P
11997,Curso de Ingreso UNViMe,F,P
11998,Curso de Ingreso UNViMe,F,A
11999,Licenciatura en Enfermería,F,P
12000,Curso de Ingreso UNViMe,F,P
12001,Profesorado de Educación Inicial,F,P
12002,Curso de Ingreso UNViMe,F,P
12003,Licenciatura en Kinesiología y Fisiatría,F,A
12004,Curso de Ingreso UNViMe,F,A
12005,Licenciatura en Enfermería,F,A
12006,Curso de Ingreso UNViMe,F,A
12007,Licenciatura en Logística,F,A
12008,Curso de Ingreso UNViMe,F,A
12009,Licenciatura en Enfermería,F,P
12010,Curso de Ingreso UNViMe,F,P
12011,Tecnicatura Universitaria en Gestión Deportiva,F,A
12012,Licenciatura en Diseño de Comunicación,F,A
12013,Licenciatura en Enfermería,F,A
12014,Curso de Ingreso UNViMe,F,A
12015,Licenciatura en Economía,M,P
12016,Curso de Ingreso UNViMe,M,P
12017,Licenciatura en Kinesiología y Fisiatría,F,A
12018,Curso de Ingreso UNViMe,F,A
12019,Licenciatura en Enfermería,F,A
12020,Curso de Ingreso UNViMe,F,A
12021,Licenciatura en Kinesiología y Fisiatría,F,A
12022,Curso de Ingreso UNViMe,F,A
12023,Tecnicatura Universitaria en Agroalimentos,M,P
12024,Curso de Ingreso UNViMe,M,P
12025,Licenciatura en Enfermería,F,A
12026,Licenciatura en Enfermería,F,A
12027,Curso de Ingreso UNViMe,F,A
12028,Licenciatura en Diseño de Comunicación,F,A
12029,Curso de Ingreso UNViMe,F,A
12030,Ciclo de Ingreso a Medicina,F,A
12031,Licenciatura en Diseño de Comunicación,F,A
12032,Curso de Ingreso UNViMe,F,A
12033,Bioingeniería,F,P
12034,Curso de Ingreso UNViMe,F,P
12035,Ciclo de Ingreso a Medicina,F,A
12036,Licenciatura en Enfermería,F,A
12037,Curso de Ingreso UNViMe,F,A
12039,Curso de Ingreso UNViMe,M,A
12040,Licenciatura en Kinesiología y Fisiatría,M,P
12041,Curso de Ingreso UNViMe,M,P
12042,Ciclo de Ingreso a Medicina,F,A
12043,Licenciatura en Enfermería,M,A
12044,Curso de Ingreso UNViMe,M,A
12045,Profesorado de Educación Inicial,F,P
12046,Curso de Ingreso UNViMe,F,A
12047,Licenciatura en Kinesiología y Fisiatría,M,P
12048,Curso de Ingreso UNViMe,M,P
12049,Ingeniería en Sistemas de Información,M,P
12050,Curso de Ingreso UNViMe,M,A
12051,Licenciatura en Enfermería,F,A
12052,Curso de Ingreso UNViMe,F,A
12053,Licenciatura en Enfermería,F,A
12054,Curso de Ingreso UNViMe,F,A
12055,Tecnicatura Universitaria en Gestión Deportiva,M,A
12056,Curso de Ingreso UNViMe,M,A
12057,Ciclo de Ingreso a Medicina,F,A
12058,Licenciatura en Obstetricia,F,P
12059,Curso de Ingreso UNViMe,F,P
12060,Licenciatura en Diseño de Comunicación,M,P
12061,Curso de Ingreso UNViMe,M,P
12062,Tecnicatura Superior en Gestión Ambiental,F,P
12063,Curso de Ingreso UNViMe,F,P
12064,Licenciatura en Obstetricia,F,A
12065,Curso de Ingreso UNViMe,F,A
12066,Licenciatura en Enfermería,F,A
12067,Curso de Ingreso UNViMe,F,A
12068,Tecnicatura Universitaria en Agroalimentos,M,A
12069,Curso de Ingreso UNViMe,M,A
12070,Tecnicatura Universitaria en Agroalimentos,F,P
12071,Curso de Ingreso UNViMe,F,P
12073,Curso de Ingreso UNViMe,F,A
12074,Licenciatura en Enfermería,M,A
12075,Tecnicatura Universitaria en Marketing Cultural y Deportivo,F,P
12076,Curso de Ingreso UNViMe,F,P
12077,Programador Universitario de Sistemas,M,A
12078,Curso de Ingreso UNViMe,M,A
12079,Licenciatura en Kinesiología y Fisiatría,F,A
12080,Curso de Ingreso UNViMe,F,A
12081,Ciclo de Ingreso a Medicina,F,A
12082,Licenciatura en Enfermería,M,A
12083,Licenciatura en Kinesiología y Fisiatría,M,A
12084,Curso de Ingreso UNViMe,M,A
12085,Programador Universitario de Sistemas,M,A
12086,Curso de Ingreso UNViMe,M,A
12087,Licenciatura en Enfermería,F,A
12088,Licenciatura en Enfermería,F,A
12089,Bioingeniería,F,A
12090,Licenciatura en Kinesiología y Fisiatría,M,P
12091,Curso de Ingreso UNViMe,M,P
12092,Tecnicatura Superior en Gestión Ambiental,F,P
12093,Licenciatura en Enfermería,F,A
12095,Licenciatura en Diseño de Comunicación,M,A
12096,Curso de Ingreso UNViMe,M,A
12097,Licenciatura en Obstetricia,F,A
12098,Curso de Ingreso UNViMe,F,A
12099,Licenciatura en Obstetricia,F,A
12100,Licenciatura en Logística,F,A
12101,Curso de Ingreso UNViMe,F,A
12102,Licenciatura en Kinesiología y Fisiatría,F,P
12103,Curso de Ingreso UNViMe,F,A
12104,Licenciatura en Enfermería,F,P
12105,Curso de Ingreso UNViMe,F,P
12106,Licenciatura en Diseño de Comunicación,M,P
12107,Curso de Ingreso UNViMe,M,P
12108,Licenciatura en Kinesiología y Fisiatría,F,A
12109,Curso de Ingreso UNViMe,F,A
12110,Licenciatura en Logística,F,P
12111,Curso de Ingreso UNViMe,F,P
12112,Ingeniería en Sistemas de Información,F,P
12113,Curso de Ingreso UNViMe,F,A
12114,Licenciatura en Kinesiología y Fisiatría,F,A
12115,Curso de Ingreso UNViMe,F,A
12116,Licenciatura en Obstetricia,F,A
12117,Curso de Ingreso UNViMe,F,A
12118,Licenciatura en Kinesiología y Fisiatría,F,A
12119,Licenciatura en Obstetricia,F,P
12120,Curso de Ingreso UNViMe,F,P
12121,Licenciatura en Enfermería,F,P
12122,Curso de Ingreso UNViMe,F,P
12123,Licenciatura en Obstetricia,F,A
12124,Curso de Ingreso UNViMe,F,A
12125,Licenciatura en Obstetricia,F,P
12126,Curso de Ingreso UNViMe,F,P
12127,Licenciatura en Kinesiología y Fisiatría,M,P
12128,Curso de Ingreso UNViMe,M,P
12129,Licenciatura en Enfermería,F,P
12130,Curso de Ingreso UNViMe,F,P
12131,Ingeniería en Sistemas de Información,M,A
12132,Curso de Ingreso UNViMe,M,A
12133,Programador Universitario de Sistemas,M,A
12134,Licenciatura en Enfermería,F,P
12135,Curso de Ingreso UNViMe,F,P
12136,Licenciatura en Kinesiología y Fisiatría,M,P
12137,Curso de Ingreso UNViMe,M,P
12138,Licenciatura en Obstetricia,F,P
12139,Licenciatura en Kinesiología y Fisiatría,F,A
12140,Licenciatura en Logística,F,A
12141,Curso de Ingreso UNViMe,F,A
12142,Tecnicatura Universitaria en Marketing Cultural y Deportivo,M,P
12143,Curso de Ingreso UNViMe,M,P
12144,Licenciatura en Enfermería,M,A
12145,Curso de Ingreso UNViMe,M,A
12146,Licenciatura en Obstetricia,F,A
12147,Licenciatura en Obstetricia,F,A
12148,Curso de Ingreso UNViMe,F,A
12149,Licenciatura en Economía,M,P
12150,Curso de Ingreso UNViMe,M,P
12151,Licenciatura en Enfermería,F,A
12152,Curso de Ingreso UNViMe,F,A
12153,Licenciatura en Obstetricia,F,A
12154,Licenciatura en Diseño de Comunicación,F,A
12155,Curso de Ingreso UNViMe,F,A
12158,Licenciatura en Economía,M,P
12159,Curso de Ingreso UNViMe,M,P
12160,Licenciatura en Kinesiología y Fisiatría,F,A
12161,Curso de Ingreso UNViMe,F,A
12162,Licenciatura en Enfermería,F,A
12163,Curso de Ingreso UNViMe,F,A
12164,Licenciatura en Enfermería,F,A
12165,Curso de Ingreso UNViMe,F,A
12166,Licenciatura en Diseño de Comunicación,M,A
12167,Curso de Ingreso UNViMe,M,A
12168,Licenciatura en Enfermería,F,A
12169,Profesorado de Educación Primaria,F,P
12170,Curso de Ingreso UNViMe,F,P
12171,Licenciatura en Kinesiología y Fisiatría,M,P
12172,Curso de Ingreso UNViMe,M,P
12173,Tecnicatura Universitaria en Gestión Deportiva,M,P
12174,Licenciatura en Kinesiología y Fisiatría,F,P
12175,Curso de Ingreso UNViMe,F,P
12176,Licenciatura en Kinesiología y Fisiatría,M,A
12177,Curso de Ingreso UNViMe,M,A
12178,Ingeniería en Sistemas de Información,M,P
12179,Curso de Ingreso UNViMe,M,A
12180,Tecnicatura Universitaria en Gestión Deportiva,M,A
12181,Curso de Ingreso UNViMe,M,A
12182,Profesorado de Educación Inicial,F,A
12183,Curso de Ingreso UNViMe,F,A
12184,Tecnicatura Universitaria en Gestión Deportiva,M,P
12185,Curso de Ingreso UNViMe,M,P
12186,Tecnicatura Universitaria en Gestión Deportiva,F,P
12187,Curso de Ingreso UNViMe,F,P
12188,Tecnicatura Universitaria en Gestión Deportiva,F,A
12189,Curso de Ingreso UNViMe,F,A
12190,Licenciatura en Enfermería,F,P
12191,Tecnicatura Universitaria en Gestión Deportiva,M,P
12192,Curso de Ingreso UNViMe,M,P
12193,Tecnicatura Universitaria en Marketing Cultural y Deportivo,F,P
12194,Curso de Ingreso UNViMe,F,P
12195,Licenciatura en Economía,M,P
12196,Curso de Ingreso UNViMe,M,P
12197,Ingeniería en Agroindustria,F,A
12198,Curso de Ingreso UNViMe,F,A
12201,Licenciatura en Diseño de Comunicación,F,A
12202,Licenciatura en Obstetricia,F,A
12203,Curso de Ingreso UNViMe,F,A
12204,Ciclo de Ingreso a Medicina,M,A
12205,Licenciatura en Logística,F,A
12206,Curso de Ingreso UNViMe,F,A
12207,Bioingeniería,M,P
12208,Curso de Ingreso UNViMe,M,P
12209,Licenciatura en Obstetricia,F,A
12210,Curso de Ingreso UNViMe,F,A
12211,Licenciatura en Enfermería,F,A
12212,Curso de Ingreso UNViMe,F,A
12213,Licenciatura en Obstetricia,F,A
12214,Licenciatura en Obstetricia,F,A
12215,Curso de Ingreso UNViMe,F,A
12216,Licenciatura en Economía,F,A
12217,Curso de Ingreso UNViMe,F,A
12218,Ciclo Complementario para la Licenciatura en Actividad Física,F,A
12219,Curso de Ingreso UNViMe,F,A
12220,Licenciatura en Diseño de Comunicación,M,A
12221,Curso de Ingreso UNViMe,M,A
12222,Ingeniería en Sistemas de Información,M,A
12223,Curso de Ingreso UNViMe,M,A
12224,Ingeniería en Sistemas de Información,M,A
12225,Curso de Ingreso UNViMe,M,A
12226,Ciclo de Ingreso a Medicina,F,A
12227,Ciclo de Ingreso a Medicina,M,A
12228,Licenciatura en Kinesiología y Fisiatría,F,A
12229,Curso de Ingreso UNViMe,F,A
12230,Tecnicatura Superior en Gestión Ambiental,F,P
12231,Curso de Ingreso UNViMe,F,P
12232,Profesorado de Educación Primaria,F,A
12233,Curso de Ingreso UNViMe,F,A
12234,Tecnicatura Superior en Gestión Ambiental,M,P
12235,Curso de Ingreso UNViMe,M,P
12236,Licenciatura en Enfermería,F,P
12237,Curso de Ingreso UNViMe,F,P
12238,Licenciatura en Enfermería,M,P
12239,Curso de Ingreso UNViMe,M,P
12240,Tecnicatura Universitaria en Agroalimentos,M,P
12241,Curso de Ingreso UNViMe,M,P
12242,Curso de Ingreso UNViMe,F,A
12243,Profesorado de Educación Primaria,M,P
12244,Curso de Ingreso UNViMe,M,P
12245,Programador Universitario de Sistemas,M,P
12246,Curso de Ingreso UNViMe,M,P
12247,Licenciatura en Enfermería,F,P
12248,Curso de Ingreso UNViMe,F,P
12249,Licenciatura en Enfermería,F,A
12250,Curso de Ingreso UNViMe,F,A
12251,Licenciatura en Kinesiología y Fisiatría,M,A
12252,Curso de Ingreso UNViMe,M,A
12253,Profesorado de Educación Inicial,F,A
12254,Curso de Ingreso UNViMe,F,A
12255,Curso de Ingreso UNViMe,F,A
12256,Tecnicatura Superior en Gestión Ambiental,M,A
12257,Curso de Ingreso UNViMe,M,A
12258,Licenciatura en Obstetricia,F,A
12259,Curso de Ingreso UNViMe,F,A
12260,Bioingeniería,F,P
12261,Curso de Ingreso UNViMe,F,P
12262,Ciclo de Ingreso a Medicina,F,A
12263,Bioingeniería,F,P
12264,Licenciatura en Obstetricia,F,A
12265,Curso de Ingreso UNViMe,F,A
12266,Licenciatura en Economía,F,A
12267,Curso de Ingreso UNViMe,F,A
12268,Ciclo de Ingreso a Medicina,F,A
12269,Licenciatura en Enfermería,F,P
12270,Curso de Ingreso UNViMe,F,P
12271,Licenciatura en Obstetricia,F,A
12272,Curso de Ingreso UNViMe,F,A
12273,Ingeniería en Sistemas de Información,M,P
12274,Curso de Ingreso UNViMe,M,P
12275,Ciclo de Ingreso a Medicina,F,A
12276,Ingeniería en Sistemas de Información,M,P
12277,Ciclo de Ingreso a Medicina,M,A
12278,Ingeniería en Sistemas de Información,M,A
12279,Curso de Ingreso UNViMe,M,A
12280,Tecnicatura Universitaria en Agroalimentos,F,P
12281,Curso de Ingreso UNViMe,F,P
12282,Tecnicatura Universitaria en Marketing Cultural y Deportivo,F,A
12283,Curso de Ingreso UNViMe,F,A
12284,Profesorado de Educación Primaria,F,A
12285,Profesorado de Educación Primaria,M,A
12286,Curso de Ingreso UNViMe,M,A
12287,Licenciatura en Kinesiología y Fisiatría,F,A
12288,Curso de Ingreso UNViMe,F,A
12289,Tecnicatura Universitaria en Marketing Cultural y Deportivo,F,A
12290,Licenciatura en Enfermería,F,A
12291,Curso de Ingreso UNViMe,F,A
12292,Ingeniería en Sistemas de Información,M,A
12293,Ingeniería en Sistemas de Información,M,P
12294,Licenciatura en Diseño de Comunicación,M,A
12295,Ciclo de Ingreso a Medicina,F,A
12296,Profesorado de Educación Primaria,F,A
12297,Curso de Ingreso UNViMe,F,A
12298,Ciclo de Ingreso a Medicina,M,A
12299,Ciclo de Ingreso a Medicina,F,A
12300,Tecnicatura Superior en Gestión Ambiental,M,P
12301,Curso de Ingreso UNViMe,M,P
12302,Licenciatura en Kinesiología y Fisiatría,M,A
12303,Curso de Ingreso UNViMe,M,A
12304,Licenciatura en Enfermería,F,P
12305,Curso de Ingreso UNViMe,F,A
12306,Tecnicatura Universitaria en Marketing Cultural y Deportivo,M,P
12307,Curso de Ingreso UNViMe,M,P
12308,Licenciatura en Diseño de Comunicación,F,A
12309,Tecnicatura Universitaria en Marketing Cultural y Deportivo,M,A
12310,Ciclo de Ingreso a Medicina,F,A
12311,Licenciatura en Obstetricia,F,A
12312,Curso de Ingreso UNViMe,F,A
12313,Bioingeniería,F,A
12314,Curso de Ingreso UNViMe,F,A
12315,Licenciatura en Diseño de Comunicación,F,A
12316,Curso de Ingreso UNViMe,F,A
12317,Profesorado de Educación Inicial,F,P
12318,Curso de Ingreso UNViMe,F,P
12319,Licenciatura en Logística,F,A
12320,Licenciatura en Enfermería,F,A
12321,Curso de Ingreso UNViMe,F,A
12322,Profesorado de Educación Inicial,F,A
12323,Curso de Ingreso UNViMe,F,A
12324,Profesorado de Educación Inicial,F,A
12325,Curso de Ingreso UNViMe,F,A
12326,Tecnicatura Superior en Gestión Ambiental,F,A
12327,Curso de Ingreso UNViMe,F,A
12328,Programador Universitario de Sistemas,M,A
12329,Curso de Ingreso UNViMe,M,A
12331,Curso de Ingreso UNViMe,M,P
12332,Ciclo de Ingreso a Medicina,M,A
12333,Licenciatura en Kinesiología y Fisiatría,M,A
12334,Curso de Ingreso UNViMe,M,A
12335,Licenciatura en Obstetricia,F,A
12336,Curso de Ingreso UNViMe,F,A
12337,Tecnicatura Universitaria en Marketing Cultural y Deportivo,M,A
12338,Curso de Ingreso UNViMe,M,A
12339,Licenciatura en Enfermería,F,P
12340,Curso de Ingreso UNViMe,F,P
12341,Tecnicatura Universitaria en Gestión Deportiva,M,P
12342,Curso de Ingreso UNViMe,M,P
12343,Tecnicatura Universitaria en Marketing Cultural y Deportivo,M,P
12344,Licenciatura en Kinesiología y Fisiatría,M,P
12345,Curso de Ingreso UNViMe,M,A
12346,Ingeniería en Sistemas de Información,M,A
12347,Curso de Ingreso UNViMe,M,A
12348,Ingeniería en Sistemas de Información,M,A
12349,Curso de Ingreso UNViMe,M,A
12350,Tecnicatura Superior en Gestión Ambiental,M,A
12351,Curso de Ingreso UNViMe,M,A
12352,Licenciatura en Enfermería,F,A
12353,Curso de Ingreso UNViMe,F,A
12354,Tecnicatura Universitaria en Marketing Cultural y Deportivo,M,A
12355,Curso de Ingreso UNViMe,M,A
12356,Tecnicatura Universitaria en Marketing Cultural y Deportivo,M,P
12357,Curso de Ingreso UNViMe,M,A
12358,Ciclo de Ingreso a Medicina,F,A
12359,Licenciatura en Obstetricia,F,A
12360,Programador Universitario de Sistemas,M,P
12361,Curso de Ingreso UNViMe,M,P
12363,Licenciatura en Kinesiología y Fisiatría,F,P
12364,Curso de Ingreso UNViMe,F,A
12365,Ciclo de Ingreso a Medicina,F,A
12366,Tecnicatura Universitaria en Gestión Deportiva,M,A
12367,Curso de Ingreso UNViMe,M,A
12368,Profesorado de Educación Primaria,F,P
12369,Curso de Ingreso UNViMe,F,P
12370,Licenciatura en Diseño de Comunicación,F,A
12371,Curso de Ingreso UNViMe,F,A
12372,Ingeniería en Sistemas de Información,M,A
12373,Curso de Ingreso UNViMe,M,A
12374,Licenciatura en Kinesiología y Fisiatría,F,A
12375,Curso de Ingreso UNViMe,F,A
12376,Licenciatura en Kinesiología y Fisiatría,F,A
12377,Curso de Ingreso UNViMe,F,A
12378,Licenciatura en Diseño de Comunicación,F,A
12379,Curso de Ingreso UNViMe,F,A
12380,Ciclo de Ingreso a Medicina,M,A
12381,Tecnicatura Superior en Gestión Ambiental,F,A
12382,Ingeniería en Sistemas de Información,M,A
12383,Ingeniería en Agroindustria,F,A
